date,week,team,opp,is_away,season_year
2021-12-12,14,TAM,BUF,0,2021
2021-12-12,14,LAC,NYG,0,2021
2021-12-12,14,NOR,NYJ,1,2021
2021-12-12,14,KAN,LVR,0,2021
2021-12-12,14,TEN,JAX,0,2021
2021-12-12,14,SEA,HOU,1,2021
2021-12-12,14,DAL,WAS,1,2021
2021-12-12,14,CLE,BAL,0,2021
2021-12-12,14,SFO,CIN,1,2021
2021-12-12,14,ATL,CAR,1,2021
2021-12-12,14,DEN,DET,0,2021
2021-12-12,14,HOU,SEA,0,2021
2021-12-12,14,CHI,GNB,1,2021
2021-12-12,14,LVR,KAN,1,2021
2021-12-12,14,NYJ,NOR,0,2021
2021-12-12,14,DET,DEN,1,2021
2021-12-12,14,NYG,LAC,1,2021
2021-12-12,14,JAX,TEN,1,2021
2021-12-13,14,ARI,LAR,0,2021
2021-12-13,14,LAR,ARI,1,2021
2021-12-16,15,LAC,KAN,0,2021
2021-12-16,15,KAN,LAC,1,2021
2021-12-18,15,NWE,IND,1,2021
2021-12-18,15,IND,NWE,0,2021
2021-12-19,15,TAM,NOR,0,2021
2021-12-19,15,DEN,CIN,0,2021
2021-12-19,15,ATL,SFO,1,2021
2021-12-19,15,BAL,GNB,0,2021
2021-12-19,15,NYJ,MIA,1,2021
2021-12-19,15,JAX,HOU,0,2021
2021-12-19,15,NYG,DAL,0,2021
2021-12-19,15,ARI,DET,1,2021
2021-12-19,15,CAR,BUF,1,2021
2021-12-19,15,TEN,PIT,1,2021
2021-12-19,15,BUF,CAR,0,2021
2021-12-19,15,DAL,NYG,1,2021
2021-12-19,15,GNB,BAL,1,2021
2021-12-19,15,HOU,JAX,1,2021
2021-12-19,15,MIA,NYJ,0,2021
2021-12-19,15,PIT,TEN,0,2021
2021-12-19,15,SFO,ATL,0,2021
2021-12-19,15,CIN,DEN,1,2021
2021-12-19,15,NOR,TAM,1,2021
2021-12-19,15,DET,ARI,0,2021
2021-12-20,15,CHI,MIN,0,2021
2021-12-20,15,CLE,LVR,0,2021
2021-12-20,15,MIN,CHI,1,2021
2021-12-20,15,LVR,CLE,1,2021
2021-12-21,15,PHI,WAS,0,2021
2021-12-21,15,WAS,PHI,1,2021
2021-12-21,15,SEA,LAR,1,2021
2021-12-21,15,LAR,SEA,0,2021
2021-12-23,16,SFO,TEN,1,2021
2021-12-23,16,TEN,SFO,0,2021
2021-12-25,16,GNB,CLE,0,2021
2021-12-25,16,ARI,IND,0,2021
2021-12-25,16,CLE,GNB,1,2021
2021-12-25,16,IND,ARI,1,2021
2021-12-26,16,SEA,CHI,0,2021
2021-12-26,16,NYG,PHI,1,2021
2021-12-26,16,MIN,LAR,0,2021
2021-12-26,16,JAX,NYJ,1,2021
2021-12-26,16,BAL,CIN,1,2021
2021-12-26,16,CAR,TAM,0,2021
2021-12-26,16,NWE,BUF,0,2021
2021-12-26,16,DET,ATL,1,2021
2021-12-26,16,LAC,HOU,1,2021
2021-12-26,16,PIT,KAN,1,2021
2021-12-26,16,KAN,PIT,0,2021
2021-12-26,16,DEN,LVR,1,2021
2021-12-26,16,DAL,WAS,0,2021
2021-12-26,16,LVR,DEN,0,2021
2021-12-26,16,CHI,SEA,1,2021
2021-12-26,16,PHI,NYG,0,2021
2021-12-26,16,LAR,MIN,1,2021
2021-12-26,16,WAS,DAL,1,2021
2021-12-26,16,HOU,LAC,0,2021
2021-12-26,16,CIN,BAL,0,2021
2021-12-26,16,TAM,CAR,1,2021
2021-12-26,16,BUF,NWE,1,2021
2021-12-26,16,ATL,DET,0,2021
2021-12-26,16,NYJ,JAX,0,2021
2021-12-27,16,MIA,NOR,1,2021
2021-12-27,16,NOR,MIA,0,2021
2022-01-02,17,NWE,JAX,0,2021
2022-01-02,17,BUF,ATL,0,2021
