team,opp,projected_off__pts,date,season_year
LAR,DET,32,2021-10-24,2021
DET,LAR,18,2021-10-24,2021
PHI,LVR,24,2021-10-24,2021
LVR,PHI,24,2021-10-24,2021
TAM,CHI,30,2021-10-24,2021
CHI,TAM,20,2021-10-24,2021
ARI,HOU,32,2021-10-24,2021
HOU,ARI,18,2021-10-24,2021
SFO,IND,25,2021-10-24,2021
IND,SFO,20,2021-10-24,2021
NOR,SEA,24,2021-10-25,2021
SEA,NOR,20,2021-10-25,2021
ARI,GNB,28,2021-10-28,2021
GNB,ARI,25,2021-10-28,2021
BUF,MIA,30,2021-10-31,2021
MIA,BUF,19,2021-10-31,2021
ATL,CAR,25,2021-10-31,2021
CAR,ATL,23,2021-10-31,2021
PHI,DET,26,2021-10-31,2021
DET,PHI,23,2021-10-31,2021
IND,TEN,26,2021-10-31,2021
TEN,IND,23,2021-10-31,2021
LAR,HOU,30,2021-10-31,2021
HOU,LAR,16,2021-10-31,2021
CIN,NYJ,24,2021-10-31,2021
NYJ,CIN,21,2021-10-31,2021
CLE,PIT,24,2021-10-31,2021
PIT,CLE,21,2021-10-31,2021
SFO,CHI,23,2021-10-31,2021
CHI,SFO,20,2021-10-31,2021
SEA,JAX,23,2021-10-31,2021
JAX,SEA,20,2021-10-31,2021
LAC,NWE,27,2021-10-31,2021
NWE,LAC,21,2021-10-31,2021
DEN,WAS,24,2021-10-31,2021
WAS,DEN,20,2021-10-31,2021
TAM,NOR,27,2021-10-31,2021
NOR,TAM,23,2021-10-31,2021
MIN,DAL,27,2021-10-31,2021
DAL,MIN,24,2021-10-31,2021
KAN,NYG,34,2021-11-01,2021
NYG,KAN,20,2021-11-01,2021
IND,NYJ,29,2021-11-04,2021
NYJ,IND,15,2021-11-04,2021
MIA,HOU,26,2021-11-07,2021
HOU,MIA,19,2021-11-07,2021
DAL,DEN,28,2021-11-07,2021
DEN,DAL,21,2021-11-07,2021
BAL,MIN,28,2021-11-07,2021
MIN,BAL,22,2021-11-07,2021
NWE,CAR,23,2021-11-07,2021
CAR,NWE,20,2021-11-07,2021
BUF,JAX,30,2021-11-07,2021
JAX,BUF,20,2021-11-07,2021
CIN,CLE,24,2021-11-07,2021
CLE,CIN,21,2021-11-07,2021
LVR,NYG,25,2021-11-07,2021
NYG,LVR,22,2021-11-07,2021
NOR,ATL,26,2021-11-07,2021
ATL,NOR,20,2021-11-07,2021
LAC,PHI,25,2021-11-07,2021
PHI,LAC,25,2021-11-07,2021
KAN,GNB,28,2021-11-07,2021
GNB,KAN,26,2021-11-07,2021
SFO,ARI,25,2021-11-07,2021
ARI,SFO,22,2021-11-07,2021
LAR,TEN,28,2021-11-07,2021
TEN,LAR,24,2021-11-07,2021
PIT,CHI,18,2021-11-08,2021
CHI,PIT,23,2021-11-08,2021
BAL,MIA,28,2021-11-11,2021
MIA,BAL,20,2021-11-11,2021
IND,JAX,19,2021-11-14,2021
JAX,IND,29,2021-11-14,2021
NWE,CLE,21,2021-11-14,2021
CLE,NWE,24,2021-11-14,2021
DAL,ATL,21,2021-11-14,2021
ATL,DAL,30,2021-11-14,2021
BUF,NYJ,18,2021-11-14,2021
NYJ,BUF,31,2021-11-14,2021
TEN,NOR,21,2021-11-14,2021
NOR,TEN,24,2021-11-14,2021
TAM,WAS,22,2021-11-14,2021
WAS,TAM,30,2021-11-14,2021
PIT,DET,18,2021-11-14,2021
DET,PIT,26,2021-11-14,2021
LAC,MIN,27,2021-11-14,2021
MIN,LAC,24,2021-11-14,2021
ARI,CAR,28,2021-11-14,2021
CAR,ARI,17,2021-11-14,2021
GNB,SEA,22,2021-11-14,2021
SEA,GNB,28,2021-11-14,2021
PHI,DEN,22,2021-11-14,2021
DEN,PHI,22,2021-11-14,2021
KAN,LVR,25,2021-11-14,2021
LVR,KAN,28,2021-11-14,2021
LAR,SFO,25,2021-11-15,2021
SFO,LAR,22,2021-11-15,2021
NWE,ATL,25,2021-11-18,2021
ATL,NWE,21,2021-11-18,2021
CLE,DET,28,2021-11-21,2021
DET,CLE,18,2021-11-21,2021
SFO,JAX,26,2021-11-21,2021
JAX,SFO,20,2021-11-21,2021
BUF,IND,28,2021-11-21,2021
IND,BUF,22,2021-11-21,2021
MIA,NYJ,24,2021-11-21,2021
NYJ,MIA,22,2021-11-21,2021
CAR,WAS,23,2021-11-21,2021
WAS,CAR,20,2021-11-21,2021
BAL,CHI,26,2021-11-21,2021
CHI,BAL,19,2021-11-21,2021
PHI,NOR,22,2021-11-21,2021
NOR,PHI,21,2021-11-21,2021
TEN,HOU,28,2021-11-21,2021
HOU,TEN,18,2021-11-21,2021
GNB,MIN,26,2021-11-21,2021
MIN,GNB,24,2021-11-21,2021
CIN,LVR,24,2021-11-21,2021
LVR,CIN,24,2021-11-21,2021
SEA,ARI,26,2021-11-21,2021
ARI,SEA,25,2021-11-21,2021
KAN,DAL,28,2021-11-21,2021
DAL,KAN,26,2021-11-21,2021
LAC,PIT,26,2021-11-21,2021
PIT,LAC,23,2021-11-21,2021
TAM,NYG,32,2021-11-22,2021
NYG,TAM,19,2021-11-22,2021
CHI,DET,24,2021-11-25,2021
DET,CHI,21,2021-11-25,2021
DAL,LVR,31,2021-11-25,2021
LVR,DAL,24,2021-11-25,2021
BUF,NOR,26,2021-11-25,2021
NOR,BUF,22,2021-11-25,2021
NWE,TEN,24,2021-11-28,2021
TEN,NWE,22,2021-11-28,2021
HOU,NYJ,25,2021-11-28,2021
NYJ,HOU,22,2021-11-28,2021
PHI,NYG,24,2021-11-28,2021
NYG,PHI,22,2021-11-28,2021
TAM,IND,28,2021-11-28,2021
IND,TAM,24,2021-11-28,2021
ATL,JAX,25,2021-11-28,2021
JAX,ATL,24,2021-11-28,2021
CAR,MIA,22,2021-11-28,2021
MIA,CAR,21,2021-11-28,2021
CIN,PIT,25,2021-11-28,2021
PIT,CIN,22,2021-11-28,2021
LAC,DEN,25,2021-11-28,2021
DEN,LAC,23,2021-11-28,2021
SFO,MIN,25,2021-11-28,2021
MIN,SFO,23,2021-11-28,2021
LAR,GNB,26,2021-11-28,2021
GNB,LAR,24,2021-11-28,2021
BAL,CLE,26,2021-11-28,2021
CLE,BAL,22,2021-11-28,2021
SEA,WAS,26,2021-11-29,2021
WAS,SEA,22,2021-11-29,2021
DAL,NOR,26,2021-12-02,2021
NOR,DAL,22,2021-12-02,2021
MIN,DET,28,2021-12-05,2021
DET,MIN,20,2021-12-05,2021
ARI,CHI,27,2021-12-05,2021
CHI,ARI,20,2021-12-05,2021
TAM,ATL,30,2021-12-05,2021
ATL,TAM,20,2021-12-05,2021
KAN,DEN,30,2021-12-05,2021
DEN,KAN,20,2021-12-05,2021
IND,HOU,27,2021-12-05,2021
HOU,IND,20,2021-12-05,2021
PHI,NYJ,26,2021-12-05,2021
NYJ,PHI,19,2021-12-05,2021
CIN,LAC,24,2021-12-05,2021
LAC,CIN,24,2021-12-05,2021
MIA,NYG,23,2021-12-05,2021
NYG,MIA,20,2021-12-05,2021
LVR,WAS,25,2021-12-05,2021
WAS,LVR,23,2021-12-05,2021
BAL,PIT,24,2021-12-05,2021
PIT,BAL,21,2021-12-05,2021
LAR,JAX,30,2021-12-05,2021
