date,team,opp,stadium_name,roof_type,is_outdoor,avg_windspeed,max_snow_depth,total_precip,avg_temp
2021-10-10,NYG,DAL,AT&T Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,CLE,LAC,SoFi Stadium,Outdoor,1,12.3035,0.0,0.0,65.48
2021-10-10,LVR,CHI,Allegiant Stadium,Indoor,0,0.0,0.0,0.0,75.0
2021-10-10,WAS,NOR,FedExField,Outdoor,1,21.4752,0.0,0.05905515,66.2
2021-10-10,MIA,TAM,Raymond James Stadium,Outdoor,1,20.133000000000003,0.0,0.0,80.6
2021-10-10,JAX,TEN,TIAA Bank Field,Outdoor,1,29.752100000000002,0.0,0.0,73.94
2021-10-10,HOU,NWE,NRG Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,DET,MIN,TCF Bank Stadium,Outdoor,1,45.187400000000004,0.0,0.03543309,64.22
2021-10-10,DEN,PIT,Heinz Field,Outdoor,1,23.2648,0.0,0.0,65.66
2021-10-10,CIN,GNB,Paul Brown Stadium,Outdoor,1,16.3301,0.0,0.0,70.52
2021-10-10,CAR,PHI,Bank of America Stadium,Outdoor,1,33.7787,0.0,0.0,70.52
2021-10-10,SFO,ARI,State Farm Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,LAC,CLE,SoFi Stadium,Outdoor,1,12.3035,0.0,0.0,65.48
2021-10-11,IND,BAL,M&T Bank Stadium,Outdoor,1,24.1596,0.0,0.0,66.56
2021-10-11,BAL,IND,M&T Bank Stadium,Outdoor,1,24.1596,0.0,0.0,66.56
2021-10-14,PHI,TAM,Lincoln Financial Field,Outdoor,1,19.2382,0.0,0.0,69.44
2021-10-14,TAM,PHI,Lincoln Financial Field,Outdoor,1,19.2382,0.0,0.0,69.44
2021-10-17,DEN,LVR,Empower Field at Mile High,Outdoor,1,14.987900000000002,0.0,0.0,52.519999999999996
2021-10-17,CAR,MIN,Bank of America Stadium,Outdoor,1,18.567100000000003,0.0,0.0,57.379999999999995
2021-10-17,JAX,MIA,TIAA Bank Field,Outdoor,1,32.2128,0.0,0.0,68.36
2021-10-17,MIN,CAR,Bank of America Stadium,Outdoor,1,18.567100000000003,0.0,0.0,57.379999999999995
2021-10-17,GNB,CHI,Soldier Field,Outdoor,1,24.607,0.0,0.0,54.5
2021-10-17,CIN,DET,Ford Field,Indoor,0,0.0,0.0,0.0,75.0
2021-10-17,IND,HOU,Lucas Oil Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-17,KAN,WAS,FedExField,Outdoor,1,19.0145,0.0,0.0,55.400000000000006
2021-10-17,LAR,NYG,MetLife Stadium,Outdoor,1,32.4365,0.0,0.011811029999999998,55.58
2021-10-17,BAL,LAC,M&T Bank Stadium,Outdoor,1,39.1475,0.0,0.0,56.120000000000005
2021-10-17,ARI,CLE,FirstEnergy Stadium,Outdoor,1,77.1765,0.0,0.01574804,57.379999999999995
2021-10-17,DAL,NWE,Gillette Stadium,Outdoor,1,31.318,0.0,0.36220491999999993,59.0
2021-10-17,MIA,JAX,TIAA Bank Field,Outdoor,1,32.2128,0.0,0.0,68.36
2021-10-17,PIT,SEA,Heinz Field,Outdoor,1,32.2128,0.0,0.0,51.44
2021-10-17,LVR,DEN,Empower Field at Mile High,Outdoor,1,14.987900000000002,0.0,0.0,52.519999999999996
2021-10-17,WAS,KAN,FedExField,Outdoor,1,19.0145,0.0,0.0,55.400000000000006
2021-10-17,CHI,GNB,Soldier Field,Outdoor,1,24.607,0.0,0.0,54.5
2021-10-17,SEA,PIT,Heinz Field,Outdoor,1,32.2128,0.0,0.0,51.44
2021-10-17,DET,CIN,Ford Field,Indoor,0,0.0,0.0,0.0,75.0
2021-10-17,NWE,DAL,Gillette Stadium,Outdoor,1,31.318,0.0,0.36220491999999993,59.0
2021-10-17,CLE,ARI,FirstEnergy Stadium,Outdoor,1,77.1765,0.0,0.01574804,57.379999999999995
2021-10-17,LAC,BAL,M&T Bank Stadium,Outdoor,1,39.1475,0.0,0.0,56.120000000000005
2021-10-17,NYG,LAR,MetLife Stadium,Outdoor,1,32.4365,0.0,0.011811029999999998,55.58
2021-10-17,HOU,IND,Lucas Oil Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-18,TEN,BUF,Nissan Stadium,Outdoor,1,10.513900000000001,0.0,0.0,55.94
2021-10-18,BUF,TEN,Nissan Stadium,Outdoor,1,10.513900000000001,0.0,0.0,55.94
2021-10-21,CLE,DEN,FirstEnergy Stadium,Outdoor,1,59.0568,0.0,0.39370099999999997,61.7
2021-10-21,DEN,CLE,FirstEnergy Stadium,Outdoor,1,59.0568,0.0,0.39370099999999997,61.7
2021-10-24,HOU,ARI,State Farm Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-24,WAS,GNB,Lambeau Field,Outdoor,1,38.700100000000006,0.0,0.0,39.38
2021-10-24,KAN,TEN,Nissan Stadium,Outdoor,1,41.1608,0.0,0.0,66.74000000000001
2021-10-24,NYJ,NWE,Gillette Stadium,Outdoor,1,12.5272,0.0,0.0,46.94
2021-10-24,DET,LAR,SoFi Stadium,Outdoor,1,13.8694,0.0,0.0,63.14
2021-10-24,PHI,LVR,Allegiant Stadium,Indoor,0,0.0,0.0,0.0,75.0
2021-10-24,CHI,TAM,Raymond James Stadium,Outdoor,1,17.0012,0.0,0.53149635,80.78
2021-10-24,MIA,ATL,Hard Rock Stadium,Outdoor,1,21.027800000000003,0.0,0.027559069999999998,80.24000000000001
2021-10-24,SFO,IND,Levi's Stadium,Outdoor,1,52.793200000000006,0.0,1.63779616,61.16
2021-10-24,BAL,CIN,M&T Bank Stadium,Outdoor,1,20.133000000000003,0.0,0.03543309,56.480000000000004
2021-10-24,NWE,NYJ,Gillette Stadium,Outdoor,1,12.5272,0.0,0.0,46.94
2021-10-24,ATL,MIA,Hard Rock Stadium,Outdoor,1,21.027800000000003,0.0,0.027559069999999998,80.24000000000001
2021-10-24,NYG,CAR,MetLife Stadium,Outdoor,1,10.961300000000001,0.0,0.027559069999999998,52.7
2021-10-24,CIN,BAL,M&T Bank Stadium,Outdoor,1,20.133000000000003,0.0,0.03543309,56.480000000000004
2021-10-24,GNB,WAS,Lambeau Field,Outdoor,1,38.700100000000006,0.0,0.0,39.38
2021-10-24,TEN,KAN,Nissan Stadium,Outdoor,1,41.1608,0.0,0.0,66.74000000000001
2021-10-24,LAR,DET,SoFi Stadium,Outdoor,1,13.8694,0.0,0.0,63.14
2021-10-24,LVR,PHI,Allegiant Stadium,Indoor,0,0.0,0.0,0.0,75.0
2021-10-24,TAM,CHI,Raymond James Stadium,Outdoor,1,17.0012,0.0,0.53149635,80.78
2021-10-24,ARI,HOU,State Farm Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-24,IND,SFO,Levi's Stadium,Outdoor,1,52.793200000000006,0.0,1.63779616,61.16
2021-10-24,CAR,NYG,MetLife Stadium,Outdoor,1,10.961300000000001,0.0,0.027559069999999998,52.7
2021-10-25,SEA,NOR,CenturyLink Field,Outdoor,1,63.307100000000005,0.0,0.21653555,54.5
2021-10-25,NOR,SEA,CenturyLink Field,Outdoor,1,63.307100000000005,0.0,0.21653555,54.5
2021-10-28,ARI,GNB,State Farm Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-28,GNB,ARI,State Farm Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-31,NOR,TAM,Mercedes-Benz Superdome,Indoor,0,0.0,0.0,0.0,75.0
2021-10-31,HOU,LAR,NRG Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-31,JAX,SEA,CenturyLink Field,Outdoor,1,7.8295,0.0,0.0,45.14
2021-10-31,LAC,NWE,SoFi Stadium,Outdoor,1,12.0798,0.0,0.0,62.24
2021-10-31,TAM,NOR,Mercedes-Benz Superdome,Indoor,0,0.0,0.0,0.0,75.0
2021-10-31,WAS,DEN,Empower Field at Mile High,Outdoor,1,31.989100000000004,0.0,0.0,41.0
2021-10-31,MIN,DAL,TCF Bank Stadium,Outdoor,1,40.9371,0.0,0.0,41.72
2021-10-31,CLE,PIT,FirstEnergy Stadium,Outdoor,1,67.5574,0.0,0.06692917,55.400000000000006
2021-10-31,CIN,NYJ,MetLife Stadium,Outdoor,1,26.396600000000003,0.0,0.08267721,58.64
2021-10-31,CHI,SFO,Soldier Field,Outdoor,1,35.3446,0.0,0.0,47.66
2021-10-31,MIA,BUF,New Era Field,Outdoor,1,39.3712,0.0,0.03149608,52.34
2021-10-31,ATL,CAR,Mercedes-Benz Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-31,DEN,WAS,Empower Field at Mile High,Outdoor,1,31.989100000000004,0.0,0.0,41.0
2021-10-31,IND,TEN,Lucas Oil Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-31,BUF,MIA,New Era Field,Outdoor,1,39.3712,0.0,0.03149608,52.34
2021-10-31,NWE,LAC,SoFi Stadium,Outdoor,1,12.0798,0.0,0.0,62.24
2021-10-31,SEA,JAX,CenturyLink Field,Outdoor,1,7.8295,0.0,0.0,45.14
2021-10-31,LAR,HOU,NRG Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-31,PHI,DET,Ford Field,Indoor,0,0.0,0.0,0.0,75.0
2021-10-31,TEN,IND,Lucas Oil Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-31,DET,PHI,Ford Field,Indoor,0,0.0,0.0,0.0,75.0
