date,week,team,opp
2021-12-12,14,HOU,SEA
2021-12-12,14,CHI,GNB
2021-12-12,14,LVR,KAN
2021-12-12,14,NYJ,NOR
2021-12-12,14,DET,DEN
2021-12-12,14,NYG,LAC
2021-12-12,14,JAX,TEN
2021-12-13,14,ARI,LAR
2021-12-13,14,LAR,ARI
2021-12-16,15,LAC,KAN
2021-12-16,15,KAN,LAC
2021-12-18,15,NWE,IND
2021-12-18,15,IND,NWE
2021-12-19,15,TAM,NOR
2021-12-19,15,DEN,CIN
2021-12-19,15,ATL,SFO
2021-12-19,15,BAL,GNB
2021-12-19,15,NYJ,MIA
2021-12-19,15,JAX,HOU
2021-12-19,15,NYG,DAL
2021-12-19,15,ARI,DET
2021-12-19,15,CAR,BUF
2021-12-19,15,TEN,PIT
2021-12-19,15,BUF,CAR
2021-12-19,15,DAL,NYG
2021-12-19,15,GNB,BAL
2021-12-19,15,HOU,JAX
2021-12-19,15,MIA,NYJ
2021-12-19,15,PIT,TEN
2021-12-19,15,SFO,ATL
2021-12-19,15,CIN,DEN
2021-12-19,15,NOR,TAM
2021-12-19,15,DET,ARI
2021-12-20,15,CHI,MIN
2021-12-20,15,CLE,LVR
2021-12-20,15,MIN,CHI
2021-12-20,15,LVR,CLE
2021-12-21,15,PHI,WAS
2021-12-21,15,WAS,PHI
2021-12-21,15,SEA,LAR
2021-12-21,15,LAR,SEA
2021-12-23,16,SFO,TEN
2021-12-23,16,TEN,SFO
2021-12-25,16,GNB,CLE
2021-12-25,16,ARI,IND
2021-12-25,16,CLE,GNB
2021-12-25,16,IND,ARI
2021-12-26,16,SEA,CHI
2021-12-26,16,NYG,PHI
2021-12-26,16,MIN,LAR
2021-12-26,16,JAX,NYJ
2021-12-26,16,BAL,CIN
2021-12-26,16,CAR,TAM
2021-12-26,16,NWE,BUF
2021-12-26,16,DET,ATL
2021-12-26,16,LAC,HOU
2021-12-26,16,PIT,KAN
2021-12-26,16,KAN,PIT
2021-12-26,16,DEN,LVR
2021-12-26,16,DAL,WAS
2021-12-26,16,LVR,DEN
2021-12-26,16,CHI,SEA
2021-12-26,16,PHI,NYG
2021-12-26,16,LAR,MIN
2021-12-26,16,WAS,DAL
2021-12-26,16,HOU,LAC
2021-12-26,16,CIN,BAL
2021-12-26,16,TAM,CAR
2021-12-26,16,BUF,NWE
2021-12-26,16,ATL,DET
2021-12-26,16,NYJ,JAX
2021-12-27,16,MIA,NOR
2021-12-27,16,NOR,MIA
2022-01-02,17,NWE,JAX
2022-01-02,17,BUF,ATL
2022-01-02,17,NOR,CAR
2022-01-02,17,CHI,NYG
2022-01-02,17,CIN,KAN
2022-01-02,17,LVR,IND
2022-01-02,17,ARI,DAL
2022-01-02,17,TAM,NYJ
2022-01-02,17,PHI,WAS
2022-01-02,17,ATL,BUF
2022-01-02,17,CAR,NOR
2022-01-02,17,NYG,CHI
2022-01-02,17,KAN,CIN
2022-01-02,17,IND,LVR
2022-01-02,17,DAL,ARI
2022-01-02,17,MIN,GNB
2022-01-02,17,JAX,NWE
2022-01-02,17,MIA,TEN
2022-01-02,17,NYJ,TAM
2022-01-02,17,WAS,PHI
2022-01-02,17,DEN,LAC
2022-01-02,17,HOU,SFO
2022-01-02,17,DET,SEA
2022-01-02,17,BAL,LAR
2022-01-02,17,LAR,BAL
2022-01-02,17,SEA,DET
2022-01-02,17,SFO,HOU
2022-01-02,17,LAC,DEN
2022-01-02,17,TEN,MIA
2022-01-02,17,GNB,MIN
2022-01-03,17,CLE,PIT
2022-01-03,17,PIT,CLE
2022-01-08,18,PHI,DAL
