date,week,team,opp,away,season_year
2020-12-07,13,SFO,BUF,0,2020
2020-12-07,13,WAS,PIT,1,2020
2020-12-07,13,BUF,SFO,1,2020
2020-12-07,13,PIT,WAS,0,2020
2020-12-08,13,BAL,DAL,0,2020
2020-12-08,13,DAL,BAL,1,2020
2020-12-10,14,LAR,NWE,0,2020
2020-12-10,14,NWE,LAR,1,2020
2020-12-13,14,IND,LVR,1,2020
2020-12-13,14,CHI,HOU,0,2020
2020-12-13,14,PIT,BUF,1,2020
2020-12-13,14,CAR,DEN,0,2020
2020-12-13,14,HOU,CHI,1,2020
2020-12-13,14,CIN,DAL,0,2020
2020-12-13,14,NYG,ARI,0,2020
2020-12-13,14,JAX,TEN,0,2020
2020-12-13,14,MIA,KAN,0,2020
2020-12-13,14,MIN,TAM,1,2020
2020-12-13,14,LVR,IND,0,2020
2020-12-13,14,NYJ,SEA,1,2020
2020-12-13,14,ATL,LAC,1,2020
2020-12-13,14,DEN,CAR,1,2020
2020-12-13,14,DET,GNB,0,2020
2020-12-13,14,SFO,WAS,0,2020
2020-12-13,14,WAS,SFO,1,2020
2020-12-13,14,PHI,NOR,0,2020
2020-12-13,14,GNB,DET,1,2020
2020-12-13,14,LAC,ATL,0,2020
2020-12-13,14,SEA,NYJ,0,2020
2020-12-13,14,TAM,MIN,0,2020
2020-12-13,14,KAN,MIA,1,2020
2020-12-13,14,TEN,JAX,1,2020
2020-12-13,14,ARI,NYG,1,2020
2020-12-13,14,DAL,CIN,1,2020
2020-12-13,14,NOR,PHI,1,2020
2020-12-13,14,BUF,PIT,0,2020
2020-12-14,14,CLE,BAL,0,2020
2020-12-14,14,BAL,CLE,1,2020
2020-12-17,15,LAC,LVR,1,2020
2020-12-17,15,LVR,LAC,0,2020
2020-12-19,15,GNB,CAR,0,2020
2020-12-19,15,BUF,DEN,1,2020
2020-12-19,15,DEN,BUF,0,2020
2020-12-19,15,CAR,GNB,1,2020
2020-12-20,15,DET,TEN,1,2020
2020-12-20,15,TEN,DET,0,2020
2020-12-20,15,BAL,JAX,0,2020
2020-12-20,15,MIA,NWE,0,2020
2020-12-20,15,SEA,WAS,1,2020
2020-12-20,15,ARI,PHI,0,2020
2020-12-20,15,NYJ,LAR,1,2020
2020-12-20,15,KAN,NOR,1,2020
2020-12-20,15,CLE,NYG,1,2020
2020-12-20,15,CHI,MIN,1,2020
2020-12-20,15,SFO,DAL,1,2020
2020-12-20,15,ATL,TAM,0,2020
2020-12-20,15,MIN,CHI,0,2020
2020-12-20,15,TAM,ATL,1,2020
2020-12-20,15,HOU,IND,1,2020
2020-12-20,15,JAX,BAL,1,2020
2020-12-20,15,NWE,MIA,1,2020
2020-12-20,15,WAS,SEA,0,2020
2020-12-20,15,PHI,ARI,1,2020
2020-12-20,15,LAR,NYJ,0,2020
2020-12-20,15,NOR,KAN,0,2020
2020-12-20,15,NYG,CLE,0,2020
2020-12-20,15,DAL,SFO,0,2020
2020-12-20,15,IND,HOU,0,2020
2020-12-21,15,PIT,CIN,1,2020
2020-12-21,15,CIN,PIT,0,2020
2020-12-25,16,MIN,NOR,1,2020
2020-12-25,16,NOR,MIN,0,2020
2020-12-26,16,TAM,DET,1,2020
2020-12-26,16,SFO,ARI,1,2020
2020-12-26,16,MIA,LVR,1,2020
2020-12-26,16,DET,TAM,0,2020
2020-12-26,16,ARI,SFO,0,2020
2020-12-26,16,LVR,MIA,0,2020
2020-12-27,16,WAS,CAR,0,2020
2020-12-27,16,NYG,BAL,1,2020
2020-12-27,16,CLE,NYJ,1,2020
2020-12-27,16,HOU,CIN,0,2020
2020-12-27,16,JAX,CHI,0,2020
2020-12-27,16,ATL,KAN,1,2020
2020-12-27,16,DEN,LAC,1,2020
2020-12-27,16,IND,PIT,1,2020
2020-12-27,16,LAR,SEA,1,2020
2020-12-27,16,KAN,ATL,0,2020
2020-12-27,16,CHI,JAX,1,2020
2020-12-27,16,CIN,HOU,1,2020
2020-12-27,16,NYJ,CLE,0,2020
2020-12-27,16,PIT,IND,0,2020
2020-12-27,16,BAL,NYG,0,2020
2020-12-27,16,CAR,WAS,1,2020
2020-12-27,16,PHI,DAL,1,2020
2020-12-27,16,LAC,DEN,0,2020
2020-12-27,16,DAL,PHI,0,2020
2020-12-27,16,SEA,LAR,0,2020
2020-12-27,16,GNB,TEN,0,2020
2020-12-27,16,TEN,GNB,1,2020
2020-12-28,16,NWE,BUF,0,2020
2020-12-28,16,BUF,NWE,1,2020
2021-01-03,17,KAN,LAC,0,2020
2021-01-03,17,DEN,LVR,0,2020
2021-01-03,17,ARI,LAR,1,2020
2021-01-03,17,JAX,IND,1,2020
2021-01-03,17,CHI,GNB,0,2020
2021-01-03,17,NYJ,NWE,1,2020
2021-01-03,17,DET,MIN,0,2020
2021-01-03,17,DAL,NYG,1,2020
2021-01-03,17,PIT,CLE,1,2020
2021-01-03,17,CIN,BAL,0,2020
2021-01-03,17,MIA,BUF,1,2020
2021-01-03,17,ATL,TAM,1,2020
2021-01-03,17,HOU,TEN,0,2020
2021-01-03,17,CAR,NOR,0,2020
2021-01-03,17,WAS,PHI,1,2020
2021-01-03,17,SEA,SFO,1,2020
2021-01-03,17,TAM,ATL,0,2020
2021-01-03,17,BUF,MIA,0,2020
2021-01-03,17,BAL,CIN,1,2020
2021-01-03,17,CLE,PIT,0,2020
2021-01-03,17,NYG,DAL,0,2020
2021-01-03,17,MIN,DET,1,2020
2021-01-03,17,SFO,SEA,0,2020
2021-01-03,17,NWE,NYJ,0,2020
2021-01-03,17,GNB,CHI,1,2020
2021-01-03,17,IND,JAX,0,2020
2021-01-03,17,LAR,ARI,0,2020
2021-01-03,17,LVR,DEN,1,2020
2021-01-03,17,TEN,HOU,1,2020
2021-01-03,17,LAC,KAN,1,2020
2021-01-03,17,NOR,CAR,1,2020
2021-01-03,17,PHI,WAS,0,2020
